CVE_ID,CVSS_Score_Scaled,Severity_CRITICAL,Severity_HIGH,Severity_LOW,Severity_MEDIUM,Severity_UNKNOWN,Attack_Vector_ADJACENT_NETWORK,Attack_Vector_LOCAL,Attack_Vector_NETWORK,Attack_Vector_PHYSICAL,Attack_Vector_UNKNOWN,CVSS_Risk_Bin
CVE-2024-52333,0.9501430434922551,False,True,False,False,False,False,True,False,False,False,HIGH
CVE-2025-1002,-0.439353263184327,False,False,False,True,False,True,False,False,False,False,MEDIUM
CVE-2025-25475,0.48697760793339423,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2025-1001,-0.439353263184327,False,False,False,True,False,True,False,False,False,False,MEDIUM
CVE-2025-2029,-0.6452045678771542,False,False,False,True,False,False,True,False,False,False,MEDIUM
CVE-2025-2480,0.6413660864530144,False,True,False,False,False,False,True,False,False,False,HIGH
CVE-2025-2581,-1.1598328296092215,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2024-12623,-0.07911347997187973,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2025-35975,1.1559943481850823,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2025-36521,1.1559943481850823,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2025-27578,0.48697760793339423,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2025-31946,-0.1820391323182933,False,False,False,True,False,False,True,False,False,False,MEDIUM
CVE-2025-3480,-0.027650653798673177,False,False,False,True,False,True,False,False,False,False,MEDIUM
CVE-2025-3481,0.6413660864530144,False,True,False,False,False,False,True,False,False,False,HIGH
CVE-2025-3482,0.6413660864530144,False,True,False,False,False,False,True,False,False,False,HIGH
CVE-2025-3483,0.6413660864530144,False,True,False,False,False,False,True,False,False,False,HIGH
CVE-2025-3484,-0.027650653798673177,False,False,False,False,True,False,False,False,False,True,MEDIUM
CVE-2025-5307,0.6413660864530144,False,True,False,False,False,False,True,False,False,False,HIGH
CVE-2025-5481,-0.027650653798673177,False,False,False,False,True,False,False,False,False,True,MEDIUM
CVE-2025-5943,1.1559943481850823,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2018-25124,-0.027650653798673177,False,False,False,False,True,False,False,False,False,True,MEDIUM
CVE-2025-11266,0.023812172374533383,False,False,False,True,False,False,True,False,False,False,MEDIUM
CVE-2025-48429,0.43551478176018765,False,True,False,False,False,False,True,False,False,False,HIGH
CVE-2025-52582,0.43551478176018765,False,True,False,False,False,False,True,False,False,False,HIGH
CVE-2025-53618,0.43551478176018765,False,True,False,False,False,False,True,False,False,False,HIGH
CVE-2025-53619,0.43551478176018765,False,True,False,False,False,False,True,False,False,False,HIGH
CVE-2020-37120,1.6706226099171497,True,False,False,False,False,False,False,True,False,False,CRITICAL
CVE-2026-2034,-0.027650653798673177,False,False,False,False,True,False,False,False,False,True,MEDIUM
CVE-2026-25982,-0.027650653798673177,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2026-32711,0.6413660864530144,False,True,False,False,False,False,True,False,False,False,HIGH
CVE-2026-3650,0.48697760793339423,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2026-5437,0.48697760793339423,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2026-5442,1.6706226099171497,True,False,False,False,False,False,False,True,False,False,CRITICAL
CVE-2026-5443,1.6706226099171497,True,False,False,False,False,False,False,True,False,False,CRITICAL
CVE-2026-5444,0.2811263032405671,False,True,False,False,False,False,True,False,False,False,HIGH
CVE-2006-2929,0.12673782472094697,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2006-5795,0.48697760793339423,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2006-5811,0.12673782472094697,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2007-0649,-1.1598328296092215,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2012-0991,-1.5715354389948755,False,False,True,False,False,False,False,True,False,False,LOW
CVE-2012-0992,1.0016058696654617,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2011-5160,-1.1598328296092215,False,False,False,True,False,False,False,True,False,False,MEDIUM
